rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([389.0 550.0]) p_canvas=Some([-118.5 -58.2]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1073.0 657.0]) p_canvas=Some([451.5 31.0]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1034.0 556.0]) p_canvas=Some([419.0 -53.2]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1040.0 678.0]) p_canvas=Some([424.0 48.5]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
